fid,id,left,top,right,bottom,row_index,col_index,X,elv_cls,KG_cl_1,KG_cl_2,KG_cl_3,KG_c_1_,lnd_cv_,lnd_c__,bm_clss,bm_shr_,IPCC_r_,_count,_sum,layer,path,IPCC_r__count
1,469741,-17,15,-16.75,14.75,300,652,68228,0-100,B,BS,BSh,Arid,Croplands,Croplands,"Tropical & Subtropical Grasslands, Savannas & Shrublands",T/S Grasslands,SAH,20,6,C1a negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a negative.gpkg|layername=C1a negative,22
2,602309,29,-7,29.25,-7.25,388,836,108263,1500-3000,A,Aw,Aw,Tropical,Cropland/Natural Vegetation Mosaics,Croplands,Tropical & Subtropical Moist Broadleaf Forests,T/S Moist BL Forests,SEAF,66,12,C1a negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a negative.gpkg|layername=C1a negative,154
3,328793,-66,-28,-65.75,-28.25,472,456,50896,1500-3000,B,BS,BSk,Arid,Croplands,Croplands,"Tropical & Subtropical Grasslands, Savannas & Shrublands",T/S Grasslands,SES,973,289,C1a negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a negative.gpkg|layername=C1a negative,1729
4,734640,75,30.25,75.25,30,239,1020,150392,100-400,B,BS,BSh,Arid,Croplands,Croplands,Deserts & Xeric Shrublands,Deserts,TIB,180,21,C1a negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a negative.gpkg|layername=C1a negative,285
5,606553,30.5,12,30.75,11.75,312,842,110416,400-800,B,BS,BSh,Arid,Croplands,Croplands,"Tropical & Subtropical Grasslands, Savannas & Shrublands",T/S Grasslands,NEAF,131,66,C1a negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a negative.gpkg|layername=C1a negative,173
6,277471,-83.75,22.5,-83.5,22.25,270,385,34917,0-100,A,Am,Am,Tropical,Croplands,Croplands,Tropical & Subtropical Coniferous Forests,T/S Coni. Forests,CAR,82,27,C1a negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a negative.gpkg|layername=C1a negative,104
7,337400,-63,-19.75,-62.75,-20,439,468,54068,400-800,A,Aw,Aw,Tropical,Cropland/Natural Vegetation Mosaics,Croplands,"Tropical & Subtropical Grasslands, Savannas & Shrublands",T/S Grasslands,SAM,210,98,C1a negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a negative.gpkg|layername=C1a negative,555
8,469742,-17,14.75,-16.75,14.5,301,652,68227,0-100,B,BS,BSh,Arid,Croplands,Croplands,"Tropical & Subtropical Grasslands, Savannas & Shrublands",T/S Grasslands,WAF,39,0,C1a negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a negative.gpkg|layername=C1a negative,57
9,163624,-123.25,44.25,-123,44,183,227,8357,100-400,C,Cs,Csb,Temperate,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,WNA,160,72,C1a negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a negative.gpkg|layername=C1a negative,165
10,892980,130,45.25,130.25,45,179,1240,202656,400-800,D,Dw,Dwb,Continental,Croplands,Croplands,Temperate Broadleaf & Mixed Forests,T. BL Forests,RFE,143,16,C1a negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a negative.gpkg|layername=C1a negative,177
11,216160,-105,50.25,-104.75,50,159,300,20379,400-800,D,Df,Dfb,Continental,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,NEN,243,11,C1a negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a negative.gpkg|layername=C1a negative,254
12,713054,67.5,26.75,67.75,26.5,253,990,144390,0-100,B,BW,BWh,Arid,Croplands,Croplands,Deserts & Xeric Shrublands,Deserts,SAS,2912,287,C1a negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a negative.gpkg|layername=C1a negative,3119
13,811697,101.75,26,102,25.75,256,1127,175364,800-1500,C,Cw,Cwa,Temperate,Croplands,Croplands,Tropical & Subtropical Moist Broadleaf Forests,T/S Moist BL Forests,EAS,1971,31,C1a negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a negative.gpkg|layername=C1a negative,3547
14,940093,146.25,-33,146.5,-33.25,492,1305,214884,100-400,B,BS,BSk,Arid,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,EAU,27,0,C1a negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a negative.gpkg|layername=C1a negative,107
15,374840,-50,-19.75,-49.75,-20,439,520,63648,400-800,A,Aw,Aw,Tropical,Croplands,Croplands,Tropical & Subtropical Moist Broadleaf Forests,T/S Moist BL Forests,NES,352,226,C1a negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a negative.gpkg|layername=C1a negative,1185
16,492692,-9,37.25,-8.75,37,211,684,70615,0-100,C,Cs,Csa,Temperate,Croplands,Croplands,"Mediterranean Forests, Woodlands & Scrub",Mediterranean,MED,1131,31,C1a negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a negative.gpkg|layername=C1a negative,2067
17,235733,-98.25,17,-98,16.75,292,327,25770,800-1500,A,Aw,Aw,Tropical,Croplands,Croplands,Tropical & Subtropical Coniferous Forests,T/S Coni. Forests,SCA,58,24,C1a negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a negative.gpkg|layername=C1a negative,148
18,490472,-9.75,52.25,-9.5,52,151,681,70270,100-400,C,Cf,Cfb,Temperate,Cropland/Natural Vegetation Mosaics,Croplands,Temperate Broadleaf & Mixed Forests,T. BL Forests,NEU,278,5,C1a negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a negative.gpkg|layername=C1a negative,651
19,790856,94.5,16.25,94.75,16,295,1098,167837,0-100,A,Am,Am,Tropical,Croplands,Croplands,Mangroves,Mangroves,SEA,591,75,C1a negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a negative.gpkg|layername=C1a negative,882
